VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,duration_min,trip_speed_mph,tip_percentage,pickup_hour,pickup_period,PU_Borough,PU_Zone,PU_ServiceZone,DO_Borough,DO_Zone,DO_ServiceZone
2,2019-01-01 00:10:50,2019-01-01 00:17:46,5,1.32,1,N,42,41,2,7.0,0.5,0.5,0.0,0.0,0.3,8.3,,6.933333333333334,11.423076923076923,0.0,0,Night,Manhattan,Central Harlem North,Boro Zone,Manhattan,Central Harlem,Boro Zone
2,2019-01-01 00:32:36,2019-01-01 00:54:08,3,3.65,1,N,43,224,2,15.5,0.5,0.5,0.0,0.0,0.3,16.8,,21.533333333333335,10.170278637770897,0.0,0,Night,Manhattan,Central Park,Yellow Zone,Manhattan,Stuy Town/Peter Cooper Village,Yellow Zone
1,2019-01-01 00:32:24,2019-01-01 00:33:21,0,5.3,1,N,50,50,1,2.5,0.5,0.5,0.75,0.0,0.3,4.55,,0.95,334.7368421052632,30.0,0,Night,Manhattan,Clinton West,Yellow Zone,Manhattan,Clinton West,Yellow Zone
1,2019-01-01 00:36:37,2019-01-01 00:42:40,1,1.4,1,N,50,239,1,6.5,0.5,0.5,1.55,0.0,0.3,9.35,,6.05,13.884297520661157,23.846153846153847,0,Night,Manhattan,Clinton West,Yellow Zone,Manhattan,Upper West Side South,Yellow Zone
1,2019-01-01 00:44:29,2019-01-01 00:48:05,3,0.6,1,N,238,238,2,4.5,0.5,0.5,0.0,0.0,0.3,5.8,,3.6,9.999999999999998,0.0,0,Night,Manhattan,Upper West Side North,Yellow Zone,Manhattan,Upper West Side North,Yellow Zone
1,2019-01-01 00:52:53,2019-01-01 01:27:03,2,14.4,1,N,238,98,2,42.0,0.5,0.5,0.0,5.76,0.3,49.06,,34.166666666666664,25.28780487804878,0.0,0,Night,Manhattan,Upper West Side North,Yellow Zone,Queens,Fresh Meadows,Boro Zone
2,2019-01-01 00:28:12,2019-01-01 00:34:55,1,1.43,1,N,14,228,2,7.0,0.5,0.5,0.0,0.0,0.3,8.3,,6.716666666666667,12.774193548387096,0.0,0,Night,Brooklyn,Bay Ridge,Boro Zone,Brooklyn,Sunset Park West,Boro Zone
2,2019-01-01 00:55:16,2019-01-01 01:01:05,1,1.0,1,N,11,22,2,6.0,0.5,0.5,0.0,0.0,0.3,7.3,,5.816666666666666,10.315186246418339,0.0,0,Night,Brooklyn,Bath Beach,Boro Zone,Brooklyn,Bensonhurst West,Boro Zone
1,2019-01-01 00:29:10,2019-01-01 01:23:09,2,11.0,1,N,181,239,1,40.0,0.5,0.5,10.33,0.0,0.3,51.63,,53.983333333333334,12.225995677678297,25.825,0,Night,Brooklyn,Park Slope,Boro Zone,Manhattan,Upper West Side South,Yellow Zone
2,2019-01-01 00:20:30,2019-01-01 00:36:07,1,1.5,1,N,161,229,2,10.5,0.5,0.5,0.0,0.0,0.3,11.8,,15.616666666666667,5.76307363927428,0.0,0,Night,Manhattan,Midtown Center,Yellow Zone,Manhattan,Sutton Place/Turtle Bay North,Yellow Zone
